path,cliente,projeto,xlsx_name,abas_encontradas,aba_gerenciamento_usada,total_gerenciamento,grand_total,ac_m2,pct_gerenciamento,rsm2_gerenciamento,status,erro
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Nova Empreendimentos\Domus\CTN-NOV-DOM - Orçamento Executivo_R00 - MOE.xlsx,Nova Empreendimentos,Domus,CTN-NOV-DOM - Orçamento Executivo_R00 - MOE.xlsx,CONTRUTORA|MÃO DE OBRA|CAPA|1 - ADM|2 - MAT|3 - MOE|EAP Análise|ARQUITETURA|EPCs|CANTEIRO|LAJE_TRELIÇADA|QUANTITATIVO|Resumo Estrutura|Fund. Rasa | Contenção|Cont.Tecnol.|Estacas|COMPLEMENTARES|INSTALAÇÕES |PCI|CLIMATIZAÇÃO,CANTEIRO,52000.0,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Barbados\MTH - PAL_BAR - Apresentação_Orçamento_R00.xlsx,Paludo,Barbados,MTH - PAL_BAR - Apresentação_Orçamento_R00.xlsx,Gerenciamento executivo |Executivo|Planilha3,Gerenciamento executivo ,4414695.110999999,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Nassau\CTN-NAS - Apresentação Orçamento_R01.xlsx,Paludo,Nassau,CTN-NAS - Apresentação Orçamento_R01.xlsx,Gerenciamento executivo |Executivo|Planilha3,Gerenciamento executivo ,3413800.1599999997,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Nassau\CTN-NSS - Orçamento_Executivo_R01.xlsx,Paludo,Nassau,CTN-NSS - Orçamento_Executivo_R01.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Urban Life\CTN-PAL-UL- Apresentação_Orçamento_R01.xlsx,Paludo,Urban Life,CTN-PAL-UL- Apresentação_Orçamento_R01.xlsx,Gerenciamento executivo |Executivo |Auxiliar,Gerenciamento executivo ,16153121.329999998,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Volo Home\CTN_PAL_VLH_Orçamento_Executivo_R01.xlsx,Paludo,Volo Home,CTN_PAL_VLH_Orçamento_Executivo_R01.xlsx,Relatório,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Paludo\Volo Ocean\CTN_VOL_PAL_Apresentação_Orçamento_R02.xlsx,Paludo,Volo Ocean,CTN_VOL_PAL_Apresentação_Orçamento_R02.xlsx,Gerenciamento executivo |Executivo |Auxiliar,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Parkside\Trindade\CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,Parkside,Trindade,CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,ORÇAMENTO_PARAMETRICO|ORÇAMENTO_EXECUTIVO|ANÁLISE_CUSTOS|VERSÕES|CÁLCULO_MÉDIAS,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Parkside\Trindade\CTN_PKS_TRI - Orçamento_R00.xlsx,Parkside,Trindade,CTN_PKS_TRI - Orçamento_R00.xlsx,BASES|Insumos|CPU|Versões|Obra |Ger_Tec e Adm|Ger_Executivo|Custos Enxoval|Louças e metais|Arquitetura|EPCs|CANTEIRO|Fundação Rasa|Aço_Infraestrutura|Supraestrutura|CLIMATIZAÇÃO|TELEFONE|SPDA|PCI|HIDROSSANITÁRIO,,,,,,,ok,
G:\Drives compartilhados\03 CTN Projetos\2. Projetos em Andamento\_Entregas\Orçamento_executivo\Pass-e\Barão de Albuquerque\MTH_PAS-BAR - Orçamento_Executivo_R02.xlsx,Pass-e,Barão de Albuquerque,MTH_PAS-BAR - Orçamento_Executivo_R02.xlsx,Relatório,,,,,,,ok,
