path,cliente,projeto,xlsx_name,aba_usada,linha_gerenciamento,linhas_macrogrupo,ac_m2,total_obra,total_gerenciamento,pct_gerenciamento,rsm2_gerenciamento,status,erro
Nova Empreendimentos\Evora\CTN-NOV-EVR - Apresentação Orçamento - R01.xlsx,Nova Empreendimentos,Evora,CTN-NOV-EVR - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,CANTEIRO DE OBRAS [DESPESAS ADMINISTRATIVAS - OBRA],27,3477.2,21316750.578198,427339.00939,0.02004709900893933,122.89744892154609,ok,
Nova Empreendimentos\Malaga\CTN-NOV-MLG - Apresentação Orçamento - R01.xlsx,Nova Empreendimentos,Malaga,CTN-NOV-MLG - Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,,1,4430.32,,,,,ok,
Paludo\Barbados\MTH - PAL_BAR - Apresentação_Orçamento_R00.xlsx,Paludo,Barbados,MTH - PAL_BAR - Apresentação_Orçamento_R00.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|Planilha3
Paludo\Nassau\CTN-NAS - Apresentação Orçamento_R01.xlsx,Paludo,Nassau,CTN-NAS - Apresentação Orçamento_R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|Planilha3
Paludo\Urban Life\CTN-PAL-UL- Apresentação_Orçamento_R01.xlsx,Paludo,Urban Life,CTN-PAL-UL- Apresentação_Orçamento_R01.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Auxiliar
Paludo\Volo Ocean\CTN_VOL_PAL_Apresentação_Orçamento_R02.xlsx,Paludo,Volo Ocean,CTN_VOL_PAL_Apresentação_Orçamento_R02.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo |Auxiliar
Parkside\Trindade\CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,Parkside,Trindade,CTN_PKS_TRI - Apresentação Orçamento _Executivo - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,20,3332.96,16393699.823686413,1385750.363839311,0.084529445991021,415.7716755794582,ok,
Pass-e\Belissimo\CTN-PAS-BEL-Apresentação Orçamento - R01.xlsx,Pass-e,Belissimo,CTN-PAS-BEL-Apresentação Orçamento - R01.xlsx,Orçamento Resumo,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,,30984116.579999994,3576946.78,0.11544453012770069,,ok,
Pass-e\Celebration\CTN-PAS-CLB- Apresentação Orçamento - R02.xlsx,Pass-e,Celebration,CTN-PAS-CLB- Apresentação Orçamento - R02.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,7956.14,25046005.690000005,3271615.95,0.13062425963219526,411.2064330190268,ok,
Pass-e\Connect\CTN-PAS-CNC- Apresentação Orçamento - R01.xlsx,Pass-e,Connect,CTN-PAS-CNC- Apresentação Orçamento - R01.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,13144.27,48836510.10815962,5368372.808971049,0.10992539796724951,408.419243439997,ok,
Pass-e\Vancouver\CTN - PAS_VCV - Apresentação_Orçamento_R03.xlsx,Pass-e,Vancouver,CTN - PAS_VCV - Apresentação_Orçamento_R03.xlsx,,,0,,,,,,sem_aba_resumo,Gerenciamento executivo |Executivo|Planilha3
SAK Engenharia\CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,SAK Engenharia,CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,CTN-SAK-AUS- Apresentação Orçamento - R00.xlsx,ORÇAMENTO_EXECUTIVO,GERENCIAMENTO TÉCNICO E ADMINISTRATIVO,17,1700.61,6535457.04,919095.17,0.14063211866816894,540.4502913660393,ok,
